origin_date,target_date,horizon_days,phi,c,forecast,actual,error
2021-07-16,2021-08-13,19,0.9999467515025681,0.0002977752985307747,14.49125006801529,14.838,-0.34674993198470894
2021-07-23,2021-08-20,19,0.9999488531165148,0.00029677090679006146,14.800753411992599,15.353,-0.5522465880074012
2021-07-30,2021-08-27,19,0.9999473503696955,0.0002975125921624776,14.60263726224678,14.9042,-0.30156273775321907
2021-08-06,2021-09-03,19,0.9999471280877215,0.0002976298246993891,14.58466968661206,14.4109,0.17376968661205972
2021-08-13,2021-09-10,20,0.9999491553946993,0.00029665536757384576,14.88539114427092,14.0946,0.790791144270921
2021-08-20,2021-09-17,20,0.9999526783684954,0.00029490701605768135,15.40392803691244,14.6129,0.7910280369124401
2021-08-27,2021-09-23,19,0.9999494234888111,0.000296547319830226,14.94953080409528,14.6646,0.28493080409528027
2021-09-03,2021-10-01,19,0.9999458235308657,0.00029830817956338207,14.453043251532998,15.0323,-0.5792567484670013
2021-09-10,2021-10-08,19,0.9999434732582585,0.00029942391703644515,14.134770430885286,14.9389,-0.8041295691147141
2021-09-17,2021-10-15,19,0.9999470750582455,0.0002977244324738901,14.656196299767435,14.6865,-0.030303700232565234
2021-09-23,2021-10-22,20,0.9999473682201035,0.0002975883510021812,14.710475297427136,14.6151,0.09537529742713602
2021-10-01,2021-10-29,20,0.9999498469945586,0.00029638793103839434,15.08059705981222,15.2746,-0.19400294018777942
2021-10-08,2021-11-05,19,0.9999490942680784,0.0002967723411183931,14.984113448217796,15.2901,-0.3059865517822047
2021-10-15,2021-11-12,19,0.9999472307225947,0.0002976933328495442,14.730048351120443,15.3157,-0.5856516488795567
2021-10-22,2021-11-19,19,0.9999466405980325,0.00029798497726312865,14.65814858570974,15.6168,-0.9586514142902587
2021-10-29,2021-11-26,19,0.99995114579835,0.0002957697804277515,15.321836820044664,16.319,-0.9971631799553347
2021-11-05,2021-12-03,20,0.9999511818485788,0.00029575336363599214,15.339886191411805,16.0342,-0.694313808588193
2021-11-12,2021-12-10,20,0.9999512319221827,0.0002957575437605727,15.3655877429196,16.0345,-0.668912257080402
2021-11-19,2021-12-17,19,0.999953207309531,0.0002947539463914784,15.66615738297338,15.8767,-0.21054261702662025
2021-11-26,2021-12-24,19,0.9999578579179511,0.00029232824950355455,16.37322263286843,15.6357,0.7375226328684299
2021-12-03,2021-12-31,18,0.9999558180101946,0.0002934282844304359,16.08356309573009,15.8899,0.19366309573008778
2021-12-10,2022-01-07,18,0.9999557088805875,0.0002934988494848658,16.08379652353799,15.7,0.3837965235379919
2021-12-17,2022-01-14,19,0.9999545499719101,0.0002941200453521705,15.927576972154407,15.32,0.6075769721544066
2021-12-24,2022-01-21,19,0.999952815917513,0.00029502649558616183,15.684860698811063,15.1567,0.5281606988110621
2021-12-31,2022-01-28,20,0.9999544589589772,0.00029417991793633143,15.943429297639096,15.4935,0.4499292976390965
2022-01-07,2022-02-04,20,0.9999530719242078,0.0002949105964173394,15.752088622139343,15.2606,0.4914886221393431
2022-01-14,2022-02-11,20,0.9999503853135221,0.00029629628695289345,15.369352763734245,15.1005,0.2688527637342446
2022-01-21,2022-02-18,20,0.9999491737697465,0.0002969148221975711,15.204874670521068,14.9354,0.26947467052106866
2022-01-28,2022-02-25,20,0.9999513737722789,0.00029581017145221004,15.543929193941208,15.326,0.2179291939412078
2022-02-04,2022-03-04,20,0.9999496845244149,0.00029668325168377154,15.309354000702664,15.2827,0.02665400070266344
2022-02-11,2022-03-11,20,0.9999484883603953,0.0002972993518719491,15.148105893731339,15.0824,0.06570589373133906
2022-02-18,2022-03-18,20,0.9999472675098323,0.0002979135584198897,14.98184982154147,14.9391,0.04274982154147011
2022-02-25,2022-03-25,19,0.9999498339694904,0.00029664131624006424,15.37255634430567,14.543,0.8295563443056704
2022-03-04,2022-04-01,19,0.9999494430447876,0.00029684976576277265,15.328916333613261,14.581,0.7479163336132615
2022-03-11,2022-04-08,19,0.9999479912936252,0.00029758542971682067,15.127281237905324,14.7138,0.413481237905323
2022-03-18,2022-04-14,18,0.9999469304432806,0.00029811570870706276,14.980716095688676,14.6483,0.33241609568867503
2022-03-25,2022-04-22,18,0.9999441440335709,0.0002994828331253392,14.58228742498303,15.4949,-0.9126125750169702
2022-04-01,2022-04-29,17,0.9999443166036831,0.0002994100110123173,14.618260619876468,15.8889,-1.2706393801235318
2022-04-08,2022-05-06,16,0.9999451477916582,0.00029900961328880986,14.749500416898028,16.0525,-1.30299958310197
2022-04-14,2022-05-13,17,0.9999446293000701,0.0002992687344624697,14.685842914174103,16.0337,-1.347857085825897
2022-04-22,2022-05-20,18,0.9999502694292463,0.00029647990823959523,15.539624608948184,15.8428,-0.30317539105181623
2022-04-29,2022-05-27,19,0.9999528281114278,0.0002951560871543727,15.93867679328824,15.6402,0.2984767932882395
2022-05-06,2022-06-03,20,0.9999538056166,0.0002946676287399082,16.106000521868935,15.4117,0.6943005218689358
2022-05-13,2022-06-10,20,0.9999535814007408,0.0002947947534022721,16.086995965855937,15.4804,0.6065959658559379
2022-05-20,2022-06-17,19,0.9999522094502548,0.0002955318109807139,15.892070994116573,15.9196,-0.027529005883428326
2022-05-27,2022-06-24,19,0.999950773382473,0.00029628294468274553,15.688070757466127,15.9334,-0.24532924253387378
2022-06-03,2022-07-01,19,0.9999491622497235,0.00029711441706047173,15.458033797664188,16.3482,-0.890166202335811
2022-06-10,2022-07-08,19,0.9999495233230349,0.00029694125970992913,15.52711444339088,16.8419,-1.3147855566091184
2022-06-17,2022-07-15,20,0.9999523216974746,0.0002955220261265934,15.971740963886022,17.2362,-1.264459036113978
2022-06-24,2022-07-22,20,0.9999523212943396,0.00029552629217327353,15.985573966980285,17.016,-1.0304260330197135
2022-07-01,2022-07-29,20,0.9999549389366703,0.00029414123609158654,16.403275916761892,16.5087,-0.10542408323810903
2022-07-08,2022-08-05,20,0.9999580359946083,0.00029245974569802266,16.90057456938514,16.5781,0.32247456938513963
2022-07-15,2022-08-12,19,0.9999604573505805,0.00029111788883534606,17.294747917019286,16.1698,1.1249479170192878
2022-07-22,2022-08-19,19,0.9999589365255632,0.00029198010255318963,17.07284591260877,16.8918,0.18104591260877
2022-07-29,2022-08-26,19,0.9999555623334492,0.000293847659977362,16.561851831654916,16.8291,-0.267248168345084
2022-08-05,2022-09-02,19,0.9999559082538962,0.000293667785008849,16.631666569655245,17.3139,-0.6822334303447555
2022-08-12,2022-09-09,20,0.9999531753680906,0.00029515501726701997,16.223171245733845,17.284,-1.0608287542661543
2022-08-19,2022-09-16,20,0.9999577224822962,0.00029269473309995186,16.950385472174567,17.655,-0.7046145278254343
2022-08-26,2022-09-23,20,0.9999572207019435,0.0002929777481543583,16.8871381094953,17.7755,-0.8883618905047008
2022-09-02,2022-09-30,20,0.9999601916497642,0.00029132994020514914,17.37556003927433,17.8937,-0.5181399607256694
2022-09-09,2022-10-07,20,0.999959894330399,0.00029150558100425107,17.345344328298584,17.9767,-0.6313556717014173
2022-09-16,2022-10-14,20,0.9999621066899564,0.0002902627962678983,17.71917046831647,18.1708,-0.4516295316835297
2022-09-23,2022-10-21,20,0.9999627548753023,0.0002898930051768876,17.840550352211704,18.3618,-0.5212496477882951
2022-09-30,2022-10-28,20,0.9999633696655839,0.00028955117516215706,17.95960866020593,18.1019,-0.14229133979407038
2022-10-07,2022-11-04,20,0.9999637700402828,0.00028932708290223654,18.043189909745745,18.2961,-0.2529100902542538
